"region","observations","quarter","Recruitment and vacancy rate, Business sector (KV)"
"SE Sweden","Recruitment","2015K2",2.1
"SE Sweden","Recruitment","2015K3",1.8
"SE Sweden","Recruitment","2015K4",1.9
"SE Sweden","Recruitment","2016K1",2.4
"SE Sweden","Recruitment","2016K2",2.4
"SE Sweden","Recruitment","2016K3",2.0
"SE Sweden","Recruitment","2016K4",2.1
"SE Sweden","Recruitment","2017K1",2.7
"SE Sweden","Recruitment","2017K2",2.6
"SE Sweden","Recruitment","2017K3",2.3
"SE Sweden","Recruitment","2017K4",2.4
"SE Sweden","Recruitment","2018K1",3.0
"SE Sweden","Recruitment","2018K2",2.9
"SE Sweden","Recruitment","2018K3",2.4
"SE Sweden","Recruitment","2018K4",2.4
"SE Sweden","Recruitment","2019K1",2.8
"SE Sweden","Recruitment","2019K2",2.7
"SE Sweden","Recruitment","2019K3",2.2
"SE Sweden","Recruitment","2019K4",2.1
"SE Sweden","Recruitment","2020K1",2.5
"SE Sweden","Recruitment","2020K2",1.5
"SE Sweden","Recruitment","2020K3",1.5
"SE Sweden","Recruitment","2020K4",1.6
"SE Sweden","Recruitment","2021K1",2.0
"SE Sweden","Recruitment","2021K2",2.6
"SE Sweden","Recruitment","2021K3",2.5
"SE Sweden","Recruitment","2021K4",2.7
"SE Sweden","Vacancy rate","2015K2",0.8
"SE Sweden","Vacancy rate","2015K3",0.8
"SE Sweden","Vacancy rate","2015K4",0.9
"SE Sweden","Vacancy rate","2016K1",0.9
"SE Sweden","Vacancy rate","2016K2",0.9
"SE Sweden","Vacancy rate","2016K3",0.9
"SE Sweden","Vacancy rate","2016K4",1.1
"SE Sweden","Vacancy rate","2017K1",1.1
"SE Sweden","Vacancy rate","2017K2",1.1
"SE Sweden","Vacancy rate","2017K3",1.0
"SE Sweden","Vacancy rate","2017K4",1.1
"SE Sweden","Vacancy rate","2018K1",1.3
"SE Sweden","Vacancy rate","2018K2",1.3
"SE Sweden","Vacancy rate","2018K3",1.1
"SE Sweden","Vacancy rate","2018K4",1.1
"SE Sweden","Vacancy rate","2019K1",1.1
"SE Sweden","Vacancy rate","2019K2",1.1
"SE Sweden","Vacancy rate","2019K3",1.0
"SE Sweden","Vacancy rate","2019K4",1.0
"SE Sweden","Vacancy rate","2020K1",0.9
"SE Sweden","Vacancy rate","2020K2",0.6
"SE Sweden","Vacancy rate","2020K3",0.5
"SE Sweden","Vacancy rate","2020K4",0.7
"SE Sweden","Vacancy rate","2021K1",0.7
"SE Sweden","Vacancy rate","2021K2",1.1
"SE Sweden","Vacancy rate","2021K3",1.2
"SE Sweden","Vacancy rate","2021K4",1.3
"SE11 Stockholm","Recruitment","2015K2",2.4
"SE11 Stockholm","Recruitment","2015K3",1.9
"SE11 Stockholm","Recruitment","2015K4",2.2
"SE11 Stockholm","Recruitment","2016K1",2.8
"SE11 Stockholm","Recruitment","2016K2",3.0
"SE11 Stockholm","Recruitment","2016K3",2.6
"SE11 Stockholm","Recruitment","2016K4",2.6
"SE11 Stockholm","Recruitment","2017K1",3.6
"SE11 Stockholm","Recruitment","2017K2",2.7
"SE11 Stockholm","Recruitment","2017K3",3.0
"SE11 Stockholm","Recruitment","2017K4",2.9
"SE11 Stockholm","Recruitment","2018K1",3.5
"SE11 Stockholm","Recruitment","2018K2",3.3
"SE11 Stockholm","Recruitment","2018K3",3.0
"SE11 Stockholm","Recruitment","2018K4",2.9
"SE11 Stockholm","Recruitment","2019K1",3.6
"SE11 Stockholm","Recruitment","2019K2",3.5
"SE11 Stockholm","Recruitment","2019K3",2.9
"SE11 Stockholm","Recruitment","2019K4",2.8
"SE11 Stockholm","Recruitment","2020K1",3.0
"SE11 Stockholm","Recruitment","2020K2",1.8
"SE11 Stockholm","Recruitment","2020K3",1.8
"SE11 Stockholm","Recruitment","2020K4",2.2
"SE11 Stockholm","Recruitment","2021K1",2.3
"SE11 Stockholm","Recruitment","2021K2",3.3
"SE11 Stockholm","Recruitment","2021K3",3.4
"SE11 Stockholm","Recruitment","2021K4",3.5
"SE11 Stockholm","Vacancy rate","2015K2",0.9
"SE11 Stockholm","Vacancy rate","2015K3",0.8
"SE11 Stockholm","Vacancy rate","2015K4",1.1
"SE11 Stockholm","Vacancy rate","2016K1",1.2
"SE11 Stockholm","Vacancy rate","2016K2",1.3
"SE11 Stockholm","Vacancy rate","2016K3",1.2
"SE11 Stockholm","Vacancy rate","2016K4",1.3
"SE11 Stockholm","Vacancy rate","2017K1",1.5
"SE11 Stockholm","Vacancy rate","2017K2",1.2
"SE11 Stockholm","Vacancy rate","2017K3",1.4
"SE11 Stockholm","Vacancy rate","2017K4",1.4
"SE11 Stockholm","Vacancy rate","2018K1",1.6
"SE11 Stockholm","Vacancy rate","2018K2",1.6
"SE11 Stockholm","Vacancy rate","2018K3",1.4
"SE11 Stockholm","Vacancy rate","2018K4",1.3
"SE11 Stockholm","Vacancy rate","2019K1",1.5
"SE11 Stockholm","Vacancy rate","2019K2",1.5
"SE11 Stockholm","Vacancy rate","2019K3",1.3
"SE11 Stockholm","Vacancy rate","2019K4",1.3
"SE11 Stockholm","Vacancy rate","2020K1",1.4
"SE11 Stockholm","Vacancy rate","2020K2",0.8
"SE11 Stockholm","Vacancy rate","2020K3",0.8
"SE11 Stockholm","Vacancy rate","2020K4",1.0
"SE11 Stockholm","Vacancy rate","2021K1",1.0
"SE11 Stockholm","Vacancy rate","2021K2",1.5
"SE11 Stockholm","Vacancy rate","2021K3",1.7
"SE11 Stockholm","Vacancy rate","2021K4",1.7
"SE12 East-Central Sweden","Recruitment","2015K2",2.0
"SE12 East-Central Sweden","Recruitment","2015K3",1.6
"SE12 East-Central Sweden","Recruitment","2015K4",1.8
"SE12 East-Central Sweden","Recruitment","2016K1",2.4
"SE12 East-Central Sweden","Recruitment","2016K2",2.4
"SE12 East-Central Sweden","Recruitment","2016K3",1.8
"SE12 East-Central Sweden","Recruitment","2016K4",2.2
"SE12 East-Central Sweden","Recruitment","2017K1",2.6
"SE12 East-Central Sweden","Recruitment","2017K2",2.8
"SE12 East-Central Sweden","Recruitment","2017K3",2.1
"SE12 East-Central Sweden","Recruitment","2017K4",2.3
"SE12 East-Central Sweden","Recruitment","2018K1",3.0
"SE12 East-Central Sweden","Recruitment","2018K2",2.7
"SE12 East-Central Sweden","Recruitment","2018K3",2.1
"SE12 East-Central Sweden","Recruitment","2018K4",2.2
"SE12 East-Central Sweden","Recruitment","2019K1",2.6
"SE12 East-Central Sweden","Recruitment","2019K2",2.7
"SE12 East-Central Sweden","Recruitment","2019K3",1.8
"SE12 East-Central Sweden","Recruitment","2019K4",1.6
"SE12 East-Central Sweden","Recruitment","2020K1",2.4
"SE12 East-Central Sweden","Recruitment","2020K2",1.6
"SE12 East-Central Sweden","Recruitment","2020K3",1.3
"SE12 East-Central Sweden","Recruitment","2020K4",1.3
"SE12 East-Central Sweden","Recruitment","2021K1",2.1
"SE12 East-Central Sweden","Recruitment","2021K2",2.1
"SE12 East-Central Sweden","Recruitment","2021K3",2.1
"SE12 East-Central Sweden","Recruitment","2021K4",2.1
"SE12 East-Central Sweden","Vacancy rate","2015K2",0.7
"SE12 East-Central Sweden","Vacancy rate","2015K3",0.8
"SE12 East-Central Sweden","Vacancy rate","2015K4",0.8
"SE12 East-Central Sweden","Vacancy rate","2016K1",0.7
"SE12 East-Central Sweden","Vacancy rate","2016K2",0.7
"SE12 East-Central Sweden","Vacancy rate","2016K3",0.9
"SE12 East-Central Sweden","Vacancy rate","2016K4",0.9
"SE12 East-Central Sweden","Vacancy rate","2017K1",1.0
"SE12 East-Central Sweden","Vacancy rate","2017K2",1.3
"SE12 East-Central Sweden","Vacancy rate","2017K3",1.0
"SE12 East-Central Sweden","Vacancy rate","2017K4",1.1
"SE12 East-Central Sweden","Vacancy rate","2018K1",1.1
"SE12 East-Central Sweden","Vacancy rate","2018K2",1.0
"SE12 East-Central Sweden","Vacancy rate","2018K3",1.0
"SE12 East-Central Sweden","Vacancy rate","2018K4",1.1
"SE12 East-Central Sweden","Vacancy rate","2019K1",0.9
"SE12 East-Central Sweden","Vacancy rate","2019K2",0.9
"SE12 East-Central Sweden","Vacancy rate","2019K3",0.8
"SE12 East-Central Sweden","Vacancy rate","2019K4",0.7
"SE12 East-Central Sweden","Vacancy rate","2020K1",0.7
"SE12 East-Central Sweden","Vacancy rate","2020K2",0.4
"SE12 East-Central Sweden","Vacancy rate","2020K3",0.4
"SE12 East-Central Sweden","Vacancy rate","2020K4",0.5
"SE12 East-Central Sweden","Vacancy rate","2021K1",0.7
"SE12 East-Central Sweden","Vacancy rate","2021K2",0.9
"SE12 East-Central Sweden","Vacancy rate","2021K3",1.0
"SE12 East-Central Sweden","Vacancy rate","2021K4",1.0
"SE21 Småland and islands","Recruitment","2015K2",2.2
"SE21 Småland and islands","Recruitment","2015K3",1.8
"SE21 Småland and islands","Recruitment","2015K4",2.2
"SE21 Småland and islands","Recruitment","2016K1",2.6
"SE21 Småland and islands","Recruitment","2016K2",1.9
"SE21 Småland and islands","Recruitment","2016K3",1.7
"SE21 Småland and islands","Recruitment","2016K4",1.9
"SE21 Småland and islands","Recruitment","2017K1",2.0
"SE21 Småland and islands","Recruitment","2017K2",2.5
"SE21 Småland and islands","Recruitment","2017K3",2.0
"SE21 Småland and islands","Recruitment","2017K4",2.4
"SE21 Småland and islands","Recruitment","2018K1",2.8
"SE21 Småland and islands","Recruitment","2018K2",2.8
"SE21 Småland and islands","Recruitment","2018K3",2.5
"SE21 Småland and islands","Recruitment","2018K4",2.0
"SE21 Småland and islands","Recruitment","2019K1",2.7
"SE21 Småland and islands","Recruitment","2019K2",2.0
"SE21 Småland and islands","Recruitment","2019K3",1.9
"SE21 Småland and islands","Recruitment","2019K4",1.5
"SE21 Småland and islands","Recruitment","2020K1",2.4
"SE21 Småland and islands","Recruitment","2020K2",1.2
"SE21 Småland and islands","Recruitment","2020K3",1.1
"SE21 Småland and islands","Recruitment","2020K4",1.2
"SE21 Småland and islands","Recruitment","2021K1",2.1
"SE21 Småland and islands","Recruitment","2021K2",1.9
"SE21 Småland and islands","Recruitment","2021K3",1.9
"SE21 Småland and islands","Recruitment","2021K4",2.3
"SE21 Småland and islands","Vacancy rate","2015K2",0.6
"SE21 Småland and islands","Vacancy rate","2015K3",0.6
"SE21 Småland and islands","Vacancy rate","2015K4",1.0
"SE21 Småland and islands","Vacancy rate","2016K1",1.0
"SE21 Småland and islands","Vacancy rate","2016K2",0.7
"SE21 Småland and islands","Vacancy rate","2016K3",0.7
"SE21 Småland and islands","Vacancy rate","2016K4",0.6
"SE21 Småland and islands","Vacancy rate","2017K1",0.7
"SE21 Småland and islands","Vacancy rate","2017K2",0.9
"SE21 Småland and islands","Vacancy rate","2017K3",0.7
"SE21 Småland and islands","Vacancy rate","2017K4",0.8
"SE21 Småland and islands","Vacancy rate","2018K1",0.9
"SE21 Småland and islands","Vacancy rate","2018K2",1.2
"SE21 Småland and islands","Vacancy rate","2018K3",1.2
"SE21 Småland and islands","Vacancy rate","2018K4",0.9
"SE21 Småland and islands","Vacancy rate","2019K1",0.8
"SE21 Småland and islands","Vacancy rate","2019K2",0.7
"SE21 Småland and islands","Vacancy rate","2019K3",0.6
"SE21 Småland and islands","Vacancy rate","2019K4",0.6
"SE21 Småland and islands","Vacancy rate","2020K1",0.7
"SE21 Småland and islands","Vacancy rate","2020K2",0.4
"SE21 Småland and islands","Vacancy rate","2020K3",0.4
"SE21 Småland and islands","Vacancy rate","2020K4",0.5
"SE21 Småland and islands","Vacancy rate","2021K1",0.6
"SE21 Småland and islands","Vacancy rate","2021K2",0.8
"SE21 Småland and islands","Vacancy rate","2021K3",0.7
"SE21 Småland and islands","Vacancy rate","2021K4",1.1
"SE22 South Sweden","Recruitment","2015K2",1.9
"SE22 South Sweden","Recruitment","2015K3",1.7
"SE22 South Sweden","Recruitment","2015K4",1.7
"SE22 South Sweden","Recruitment","2016K1",2.0
"SE22 South Sweden","Recruitment","2016K2",2.2
"SE22 South Sweden","Recruitment","2016K3",1.8
"SE22 South Sweden","Recruitment","2016K4",2.1
"SE22 South Sweden","Recruitment","2017K1",2.7
"SE22 South Sweden","Recruitment","2017K2",2.6
"SE22 South Sweden","Recruitment","2017K3",2.1
"SE22 South Sweden","Recruitment","2017K4",2.6
"SE22 South Sweden","Recruitment","2018K1",3.0
"SE22 South Sweden","Recruitment","2018K2",3.2
"SE22 South Sweden","Recruitment","2018K3",2.7
"SE22 South Sweden","Recruitment","2018K4",2.6
"SE22 South Sweden","Recruitment","2019K1",2.5
"SE22 South Sweden","Recruitment","2019K2",2.3
"SE22 South Sweden","Recruitment","2019K3",2.4
"SE22 South Sweden","Recruitment","2019K4",2.0
"SE22 South Sweden","Recruitment","2020K1",2.9
"SE22 South Sweden","Recruitment","2020K2",1.7
"SE22 South Sweden","Recruitment","2020K3",1.5
"SE22 South Sweden","Recruitment","2020K4",1.7
"SE22 South Sweden","Recruitment","2021K1",2.1
"SE22 South Sweden","Recruitment","2021K2",2.6
"SE22 South Sweden","Recruitment","2021K3",2.2
"SE22 South Sweden","Recruitment","2021K4",2.8
"SE22 South Sweden","Vacancy rate","2015K2",0.9
"SE22 South Sweden","Vacancy rate","2015K3",0.8
"SE22 South Sweden","Vacancy rate","2015K4",0.9
"SE22 South Sweden","Vacancy rate","2016K1",0.9
"SE22 South Sweden","Vacancy rate","2016K2",0.8
"SE22 South Sweden","Vacancy rate","2016K3",0.8
"SE22 South Sweden","Vacancy rate","2016K4",1.2
"SE22 South Sweden","Vacancy rate","2017K1",1.2
"SE22 South Sweden","Vacancy rate","2017K2",1.2
"SE22 South Sweden","Vacancy rate","2017K3",1.2
"SE22 South Sweden","Vacancy rate","2017K4",1.5
"SE22 South Sweden","Vacancy rate","2018K1",1.5
"SE22 South Sweden","Vacancy rate","2018K2",1.6
"SE22 South Sweden","Vacancy rate","2018K3",1.3
"SE22 South Sweden","Vacancy rate","2018K4",1.5
"SE22 South Sweden","Vacancy rate","2019K1",1.3
"SE22 South Sweden","Vacancy rate","2019K2",1.2
"SE22 South Sweden","Vacancy rate","2019K3",1.2
"SE22 South Sweden","Vacancy rate","2019K4",1.0
"SE22 South Sweden","Vacancy rate","2020K1",0.9
"SE22 South Sweden","Vacancy rate","2020K2",0.7
"SE22 South Sweden","Vacancy rate","2020K3",0.6
"SE22 South Sweden","Vacancy rate","2020K4",0.7
"SE22 South Sweden","Vacancy rate","2021K1",0.9
"SE22 South Sweden","Vacancy rate","2021K2",0.9
"SE22 South Sweden","Vacancy rate","2021K3",0.9
"SE22 South Sweden","Vacancy rate","2021K4",1.5
"SE23 West Sweden","Recruitment","2015K2",2.1
"SE23 West Sweden","Recruitment","2015K3",2.0
"SE23 West Sweden","Recruitment","2015K4",1.9
"SE23 West Sweden","Recruitment","2016K1",2.3
"SE23 West Sweden","Recruitment","2016K2",2.1
"SE23 West Sweden","Recruitment","2016K3",2.1
"SE23 West Sweden","Recruitment","2016K4",2.1
"SE23 West Sweden","Recruitment","2017K1",2.3
"SE23 West Sweden","Recruitment","2017K2",2.7
"SE23 West Sweden","Recruitment","2017K3",2.0
"SE23 West Sweden","Recruitment","2017K4",2.2
"SE23 West Sweden","Recruitment","2018K1",2.7
"SE23 West Sweden","Recruitment","2018K2",2.7
"SE23 West Sweden","Recruitment","2018K3",2.0
"SE23 West Sweden","Recruitment","2018K4",2.2
"SE23 West Sweden","Recruitment","2019K1",2.7
"SE23 West Sweden","Recruitment","2019K2",2.6
"SE23 West Sweden","Recruitment","2019K3",1.8
"SE23 West Sweden","Recruitment","2019K4",1.9
"SE23 West Sweden","Recruitment","2020K1",2.2
"SE23 West Sweden","Recruitment","2020K2",1.2
"SE23 West Sweden","Recruitment","2020K3",1.2
"SE23 West Sweden","Recruitment","2020K4",1.3
"SE23 West Sweden","Recruitment","2021K1",1.7
"SE23 West Sweden","Recruitment","2021K2",2.3
"SE23 West Sweden","Recruitment","2021K3",2.2
"SE23 West Sweden","Recruitment","2021K4",2.4
"SE23 West Sweden","Vacancy rate","2015K2",0.7
"SE23 West Sweden","Vacancy rate","2015K3",0.8
"SE23 West Sweden","Vacancy rate","2015K4",0.8
"SE23 West Sweden","Vacancy rate","2016K1",1.0
"SE23 West Sweden","Vacancy rate","2016K2",0.9
"SE23 West Sweden","Vacancy rate","2016K3",0.9
"SE23 West Sweden","Vacancy rate","2016K4",1.1
"SE23 West Sweden","Vacancy rate","2017K1",0.9
"SE23 West Sweden","Vacancy rate","2017K2",1.1
"SE23 West Sweden","Vacancy rate","2017K3",0.9
"SE23 West Sweden","Vacancy rate","2017K4",1.1
"SE23 West Sweden","Vacancy rate","2018K1",1.1
"SE23 West Sweden","Vacancy rate","2018K2",1.3
"SE23 West Sweden","Vacancy rate","2018K3",0.9
"SE23 West Sweden","Vacancy rate","2018K4",1.1
"SE23 West Sweden","Vacancy rate","2019K1",1.0
"SE23 West Sweden","Vacancy rate","2019K2",1.1
"SE23 West Sweden","Vacancy rate","2019K3",0.9
"SE23 West Sweden","Vacancy rate","2019K4",0.9
"SE23 West Sweden","Vacancy rate","2020K1",0.8
"SE23 West Sweden","Vacancy rate","2020K2",0.4
"SE23 West Sweden","Vacancy rate","2020K3",0.4
"SE23 West Sweden","Vacancy rate","2020K4",0.5
"SE23 West Sweden","Vacancy rate","2021K1",0.6
"SE23 West Sweden","Vacancy rate","2021K2",1.0
"SE23 West Sweden","Vacancy rate","2021K3",1.0
"SE23 West Sweden","Vacancy rate","2021K4",1.1
"SE31 North-Central Sweden","Recruitment","2015K2",1.6
"SE31 North-Central Sweden","Recruitment","2015K3",1.3
"SE31 North-Central Sweden","Recruitment","2015K4",1.2
"SE31 North-Central Sweden","Recruitment","2016K1",1.8
"SE31 North-Central Sweden","Recruitment","2016K2",1.9
"SE31 North-Central Sweden","Recruitment","2016K3",1.5
"SE31 North-Central Sweden","Recruitment","2016K4",1.4
"SE31 North-Central Sweden","Recruitment","2017K1",1.6
"SE31 North-Central Sweden","Recruitment","2017K2",2.2
"SE31 North-Central Sweden","Recruitment","2017K3",2.2
"SE31 North-Central Sweden","Recruitment","2017K4",1.6
"SE31 North-Central Sweden","Recruitment","2018K1",3.2
"SE31 North-Central Sweden","Recruitment","2018K2",2.1
"SE31 North-Central Sweden","Recruitment","2018K3",1.6
"SE31 North-Central Sweden","Recruitment","2018K4",1.4
"SE31 North-Central Sweden","Recruitment","2019K1",1.8
"SE31 North-Central Sweden","Recruitment","2019K2",2.0
"SE31 North-Central Sweden","Recruitment","2019K3",2.0
"SE31 North-Central Sweden","Recruitment","2019K4",1.4
"SE31 North-Central Sweden","Recruitment","2020K1",1.8
"SE31 North-Central Sweden","Recruitment","2020K2",1.1
"SE31 North-Central Sweden","Recruitment","2020K3",1.4
"SE31 North-Central Sweden","Recruitment","2020K4",1.2
"SE31 North-Central Sweden","Recruitment","2021K1",1.5
"SE31 North-Central Sweden","Recruitment","2021K2",2.2
"SE31 North-Central Sweden","Recruitment","2021K3",1.7
"SE31 North-Central Sweden","Recruitment","2021K4",2.2
"SE31 North-Central Sweden","Vacancy rate","2015K2",0.4
"SE31 North-Central Sweden","Vacancy rate","2015K3",0.3
"SE31 North-Central Sweden","Vacancy rate","2015K4",0.6
"SE31 North-Central Sweden","Vacancy rate","2016K1",0.4
"SE31 North-Central Sweden","Vacancy rate","2016K2",0.7
"SE31 North-Central Sweden","Vacancy rate","2016K3",0.5
"SE31 North-Central Sweden","Vacancy rate","2016K4",0.6
"SE31 North-Central Sweden","Vacancy rate","2017K1",0.6
"SE31 North-Central Sweden","Vacancy rate","2017K2",1.0
"SE31 North-Central Sweden","Vacancy rate","2017K3",0.6
"SE31 North-Central Sweden","Vacancy rate","2017K4",0.5
"SE31 North-Central Sweden","Vacancy rate","2018K1",0.9
"SE31 North-Central Sweden","Vacancy rate","2018K2",0.9
"SE31 North-Central Sweden","Vacancy rate","2018K3",0.6
"SE31 North-Central Sweden","Vacancy rate","2018K4",0.6
"SE31 North-Central Sweden","Vacancy rate","2019K1",0.6
"SE31 North-Central Sweden","Vacancy rate","2019K2",0.8
"SE31 North-Central Sweden","Vacancy rate","2019K3",0.7
"SE31 North-Central Sweden","Vacancy rate","2019K4",0.5
"SE31 North-Central Sweden","Vacancy rate","2020K1",0.7
"SE31 North-Central Sweden","Vacancy rate","2020K2",0.3
"SE31 North-Central Sweden","Vacancy rate","2020K3",0.2
"SE31 North-Central Sweden","Vacancy rate","2020K4",0.5
"SE31 North-Central Sweden","Vacancy rate","2021K1",0.4
"SE31 North-Central Sweden","Vacancy rate","2021K2",0.7
"SE31 North-Central Sweden","Vacancy rate","2021K3",0.7
"SE31 North-Central Sweden","Vacancy rate","2021K4",1.0
"SE32 Central Norrland","Recruitment","2015K2",2.0
"SE32 Central Norrland","Recruitment","2015K3",2.0
"SE32 Central Norrland","Recruitment","2015K4",3.4
"SE32 Central Norrland","Recruitment","2016K1",2.6
"SE32 Central Norrland","Recruitment","2016K2",2.6
"SE32 Central Norrland","Recruitment","2016K3",1.4
"SE32 Central Norrland","Recruitment","2016K4",1.4
"SE32 Central Norrland","Recruitment","2017K1",2.3
"SE32 Central Norrland","Recruitment","2017K2",1.7
"SE32 Central Norrland","Recruitment","2017K3",1.7
"SE32 Central Norrland","Recruitment","2017K4",1.4
"SE32 Central Norrland","Recruitment","2018K1",1.8
"SE32 Central Norrland","Recruitment","2018K2",2.3
"SE32 Central Norrland","Recruitment","2018K3",1.7
"SE32 Central Norrland","Recruitment","2018K4",1.6
"SE32 Central Norrland","Recruitment","2019K1",3.0
"SE32 Central Norrland","Recruitment","2019K2",3.1
"SE32 Central Norrland","Recruitment","2019K3",1.9
"SE32 Central Norrland","Recruitment","2019K4",1.6
"SE32 Central Norrland","Recruitment","2020K1",1.8
"SE32 Central Norrland","Recruitment","2020K2",2.0
"SE32 Central Norrland","Recruitment","2020K3",1.5
"SE32 Central Norrland","Recruitment","2020K4",1.2
"SE32 Central Norrland","Recruitment","2021K1",1.2
"SE32 Central Norrland","Recruitment","2021K2",3.1
"SE32 Central Norrland","Recruitment","2021K3",2.2
"SE32 Central Norrland","Recruitment","2021K4",2.0
"SE32 Central Norrland","Vacancy rate","2015K2",1.1
"SE32 Central Norrland","Vacancy rate","2015K3",1.2
"SE32 Central Norrland","Vacancy rate","2015K4",1.4
"SE32 Central Norrland","Vacancy rate","2016K1",0.8
"SE32 Central Norrland","Vacancy rate","2016K2",0.8
"SE32 Central Norrland","Vacancy rate","2016K3",0.5
"SE32 Central Norrland","Vacancy rate","2016K4",0.7
"SE32 Central Norrland","Vacancy rate","2017K1",1.0
"SE32 Central Norrland","Vacancy rate","2017K2",0.6
"SE32 Central Norrland","Vacancy rate","2017K3",0.8
"SE32 Central Norrland","Vacancy rate","2017K4",0.5
"SE32 Central Norrland","Vacancy rate","2018K1",0.8
"SE32 Central Norrland","Vacancy rate","2018K2",0.7
"SE32 Central Norrland","Vacancy rate","2018K3",0.8
"SE32 Central Norrland","Vacancy rate","2018K4",0.6
"SE32 Central Norrland","Vacancy rate","2019K1",0.9
"SE32 Central Norrland","Vacancy rate","2019K2",1.5
"SE32 Central Norrland","Vacancy rate","2019K3",0.9
"SE32 Central Norrland","Vacancy rate","2019K4",0.8
"SE32 Central Norrland","Vacancy rate","2020K1",0.6
"SE32 Central Norrland","Vacancy rate","2020K2",0.6
"SE32 Central Norrland","Vacancy rate","2020K3",0.4
"SE32 Central Norrland","Vacancy rate","2020K4",0.5
"SE32 Central Norrland","Vacancy rate","2021K1",0.3
"SE32 Central Norrland","Vacancy rate","2021K2",1.4
"SE32 Central Norrland","Vacancy rate","2021K3",1.2
"SE32 Central Norrland","Vacancy rate","2021K4",0.8
"SE33 Upper Norrland","Recruitment","2015K2",2.1
"SE33 Upper Norrland","Recruitment","2015K3",1.2
"SE33 Upper Norrland","Recruitment","2015K4",1.2
"SE33 Upper Norrland","Recruitment","2016K1",2.7
"SE33 Upper Norrland","Recruitment","2016K2",2.4
"SE33 Upper Norrland","Recruitment","2016K3",1.9
"SE33 Upper Norrland","Recruitment","2016K4",1.5
"SE33 Upper Norrland","Recruitment","2017K1",2.7
"SE33 Upper Norrland","Recruitment","2017K2",1.9
"SE33 Upper Norrland","Recruitment","2017K3",1.3
"SE33 Upper Norrland","Recruitment","2017K4",1.6
"SE33 Upper Norrland","Recruitment","2018K1",2.5
"SE33 Upper Norrland","Recruitment","2018K2",2.2
"SE33 Upper Norrland","Recruitment","2018K3",2.1
"SE33 Upper Norrland","Recruitment","2018K4",2.3
"SE33 Upper Norrland","Recruitment","2019K1",2.3
"SE33 Upper Norrland","Recruitment","2019K2",2.3
"SE33 Upper Norrland","Recruitment","2019K3",2.1
"SE33 Upper Norrland","Recruitment","2019K4",2.0
"SE33 Upper Norrland","Recruitment","2020K1",2.3
"SE33 Upper Norrland","Recruitment","2020K2",1.4
"SE33 Upper Norrland","Recruitment","2020K3",1.4
"SE33 Upper Norrland","Recruitment","2020K4",1.5
"SE33 Upper Norrland","Recruitment","2021K1",2.1
"SE33 Upper Norrland","Recruitment","2021K2",3.1
"SE33 Upper Norrland","Recruitment","2021K3",2.5
"SE33 Upper Norrland","Recruitment","2021K4",2.1
"SE33 Upper Norrland","Vacancy rate","2015K2",0.6
"SE33 Upper Norrland","Vacancy rate","2015K3",0.6
"SE33 Upper Norrland","Vacancy rate","2015K4",0.4
"SE33 Upper Norrland","Vacancy rate","2016K1",1.0
"SE33 Upper Norrland","Vacancy rate","2016K2",0.8
"SE33 Upper Norrland","Vacancy rate","2016K3",0.9
"SE33 Upper Norrland","Vacancy rate","2016K4",0.9
"SE33 Upper Norrland","Vacancy rate","2017K1",0.9
"SE33 Upper Norrland","Vacancy rate","2017K2",0.5
"SE33 Upper Norrland","Vacancy rate","2017K3",0.5
"SE33 Upper Norrland","Vacancy rate","2017K4",0.9
"SE33 Upper Norrland","Vacancy rate","2018K1",1.0
"SE33 Upper Norrland","Vacancy rate","2018K2",0.9
"SE33 Upper Norrland","Vacancy rate","2018K3",0.6
"SE33 Upper Norrland","Vacancy rate","2018K4",1.0
"SE33 Upper Norrland","Vacancy rate","2019K1",0.9
"SE33 Upper Norrland","Vacancy rate","2019K2",0.7
"SE33 Upper Norrland","Vacancy rate","2019K3",0.8
"SE33 Upper Norrland","Vacancy rate","2019K4",1.1
"SE33 Upper Norrland","Vacancy rate","2020K1",0.4
"SE33 Upper Norrland","Vacancy rate","2020K2",0.4
"SE33 Upper Norrland","Vacancy rate","2020K3",0.4
"SE33 Upper Norrland","Vacancy rate","2020K4",0.4
"SE33 Upper Norrland","Vacancy rate","2021K1",0.2
"SE33 Upper Norrland","Vacancy rate","2021K2",0.8
"SE33 Upper Norrland","Vacancy rate","2021K3",1.3
"SE33 Upper Norrland","Vacancy rate","2021K4",1.0
